
2024/09/23 (13:19:40) | ===> btop++ v.1.4.0
2024/09/23 (13:19:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (08:05:04) | ===> btop++ v.1.4.0
2024/09/24 (08:05:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (08:16:10) | ===> btop++ v.1.4.0
2024/09/25 (08:16:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (15:07:06) | ===> btop++ v.1.4.0
2024/09/25 (15:07:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (16:11:35) | ===> btop++ v.1.4.0
2024/09/26 (16:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (16:14:15) | ===> btop++ v.1.4.0
2024/09/26 (16:14:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (10:36:10) | ===> btop++ v.1.4.0
2024/09/30 (10:36:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (20:22:23) | ===> btop++ v.1.4.0
2024/09/30 (20:22:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (20:22:51) | ===> btop++ v.1.4.0
2024/09/30 (20:22:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (08:50:47) | ===> btop++ v.1.4.0
2024/10/01 (08:50:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:50:34) | ===> btop++ v.1.4.0
2024/10/01 (10:50:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (16:12:37) | ===> btop++ v.1.4.0
2024/10/01 (16:12:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (11:46:18) | ===> btop++ v.1.4.0
2024/10/02 (11:46:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (22:34:58) | ===> btop++ v.1.4.0
2024/10/02 (22:34:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (13:48:38) | ===> btop++ v.1.4.0
2024/10/03 (13:48:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (16:04:28) | ===> btop++ v.1.4.0
2024/10/04 (16:04:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (16:27:30) | ===> btop++ v.1.4.0
2024/10/04 (16:27:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:08:50) | ===> btop++ v.1.4.0
2024/10/05 (01:08:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:11:05) | ===> btop++ v.1.4.0
2024/10/05 (01:11:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:23:14) | ===> btop++ v.1.4.0
2024/10/05 (01:23:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:23:44) | ===> btop++ v.1.4.0
2024/10/05 (01:23:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:10:01) | ===> btop++ v.1.4.0
2024/10/05 (02:10:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (09:29:05) | ===> btop++ v.1.4.0
2024/10/06 (09:29:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (11:41:00) | ===> btop++ v.1.4.0
2024/10/06 (11:41:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (11:46:37) | ===> btop++ v.1.4.0
2024/10/06 (11:46:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (11:46:55) | ===> btop++ v.1.4.0
2024/10/06 (11:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:06:18) | ===> btop++ v.1.4.0
2024/10/06 (22:06:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:54:23) | ===> btop++ v.1.4.0
2024/10/07 (19:54:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (22:54:17) | ===> btop++ v.1.4.0
2024/10/07 (22:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (23:27:11) | ===> btop++ v.1.4.0
2024/10/08 (23:27:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (15:34:40) | ===> btop++ v.1.4.0
2024/10/09 (15:34:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:32:16) | ===> btop++ v.1.4.0
2024/10/09 (20:32:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (22:44:00) | ===> btop++ v.1.4.0
2024/10/09 (22:44:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (13:24:04) | ===> btop++ v.1.4.0
2024/10/10 (13:24:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:09:39) | ===> btop++ v.1.4.0
2024/10/10 (19:09:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (23:12:02) | ===> btop++ v.1.4.0
2024/10/10 (23:12:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (11:58:32) | ===> btop++ v.1.4.0
2024/10/11 (11:58:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (22:47:16) | ===> btop++ v.1.4.0
2024/10/11 (22:47:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (23:02:44) | ===> btop++ v.1.4.0
2024/10/11 (23:02:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (15:41:15) | ===> btop++ v.1.4.0
2024/10/12 (15:41:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (15:41:27) | ===> btop++ v.1.4.0
2024/10/12 (15:41:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (15:41:43) | ===> btop++ v.1.4.0
2024/10/12 (15:41:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (11:37:46) | ===> btop++ v.1.4.0
2024/10/13 (11:37:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (16:52:58) | ===> btop++ v.1.4.0
2024/10/13 (16:52:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (08:14:16) | ===> btop++ v.1.4.0
2024/10/16 (08:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (09:28:48) | ===> btop++ v.1.4.0
2024/10/16 (09:28:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (12:06:05) | ===> btop++ v.1.4.0
2024/10/17 (12:06:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (14:25:18) | ===> btop++ v.1.4.0
2024/10/17 (14:25:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:54:48) | ===> btop++ v.1.4.0
2024/10/18 (10:54:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:49:52) | ===> btop++ v.1.4.0
2024/10/18 (12:49:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (18:56:19) | ===> btop++ v.1.4.0
2024/10/18 (18:56:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:01:58) | ===> btop++ v.1.4.0
2024/10/18 (19:01:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:02:38) | ===> btop++ v.1.4.0
2024/10/18 (19:02:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (20:00:00) | ===> btop++ v.1.4.0
2024/10/18 (20:00:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (00:17:22) | ===> btop++ v.1.4.0
2024/10/19 (00:17:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (10:01:21) | ===> btop++ v.1.4.0
2024/10/19 (10:01:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (18:54:39) | ===> btop++ v.1.4.0
2024/10/19 (18:54:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (19:00:12) | ===> btop++ v.1.4.0
2024/10/19 (19:00:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (23:20:18) | ===> btop++ v.1.4.0
2024/10/20 (23:20:18) | WARNING: Intel GPU: Failed to initialize PMU
